Bank,Title,Description,Published At
AXIS,"Paytm shares jump 5% after Axis Bank deal, fresh RBI deadline",The Reserve Bank of India (RBI) on Friday extended the deadline for Paytm Payments Bank to stop accepting fresh deposits in its accounts or wallets to March 15 from Feb. 29.,2024-02-19T05:20:36Z
AXIS,Paytm share price surges 5% as it moves nodal account to Axis Bank,"Paytm share price surged by 5 per cent to hit its upper circuit in opening deals after shifting the nodal account to Axis Bank. RBI extended Paytm Payments Bank deadline to March 15, from the initial date of February 29.",2024-02-18T18:30:00Z
AXIS,"Stocks to Watch: Infosys, Coal India, Vedanta, Paytm, HDFC Bank, Yes Bank, Axis Bank","Here are a few stocks likely to be in focus on Friday, February 16:",2024-02-15T18:30:00Z
AXIS,"Paytm shifts nodal account to Axis Bank; Soundbox, Card machine to continue working even after March 15","Paytm QR, Soundbox, Card machine will continue to work as always even beyond March 15.",2024-02-15T18:30:00Z
AXIS,"Buy or sell: Rajesh Palviya of Axis Securities recommends Federal Bank, NOCIL, M&M stock for today","Buy or sell stocks: Rajesh Palviya has recommended three stocks to buy, hold, and accumulate today - Federal Bank, NOCIL, and Mahindra & Mahindra (M&M).",2024-02-15T18:30:00Z
AXIS,Day trading guide for stock market today: Nine stocks to buy or sell on Thursday - 15th February,"Day trading stocks: Market experts have recommended nine stocks to buy today — Axis Bank, IRFC, MRPL, HDFC Life, SJVN, HUDCO, Century Text, Sasken Technologies, and SAIL",2024-02-14T18:30:00Z
AXIS,IIMA completes final placement process for 2024,"Recruiters, including Tata Steel, NPCI, Jio Financial Services, Newgen Software Tech Ltd, Javis, BNP Paribas, Axis Bank and S&P Global, were part of the third cluster recruitment.",2024-02-13T20:02:23Z
AXIS,"Ram Madhav writes: India, making waves in the Indian Ocean","With axis of global power shifting to the Indo-Pacific, India is remedying old mistakes and assuming a prominent role in addressing maritime concerns in Indian Ocean region",2024-02-10T02:30:40Z
AXIS,"Nifty, Sensex gain in morning trade as investors await RBI monetary policy","State Bank of India, Axis Bank, JSW Steel, Tata Steel, Titan, Kotak Mahindra Bank are some of the major gainers.HCL Technologies, Infosys, Power Grid, Wipro,",2024-02-07T04:38:00Z
AXIS,FD rate hike: Axis Bank increases interest rates on fixed deposits. Details here,"FD rate hike: Axis Bank offers FD rates of 3.50-7.85% p.a. to senior citizens on tenures ranging from 7 days to 10 years, effective from 5 February 2024",2024-02-06T18:30:00Z
AXIS,"HDFC Bank Group To Acquire Upto 9.5% Stakes In Yes Bank, Axis Bank & 4 Others, Gets RBI Nod","The RBI has also mandated that the group acquire major shareholding within one year in all the banks from the date of the approval, without which it would stand cancelled.",2024-02-06T05:28:36Z
AXIS,NFO Alert: Axis Mutual Fund launches Axis S&P BSE Sensex Index Fund; all you need to know,"Axis Mutual Fund announced the launch of the Axis S&P BSE Sensex Index Fund. The scheme will open for public subscription on February 08, 2024, and will close on February 22, 2024.",2024-02-05T18:30:00Z
AXIS,PI Industries is Axis Securities' ‘pick of the week’ - 3 key reasons why,"Axis Securities has a ‘buy’ call on PI Industries with a target price of ₹3,750, implying a potential upside of 11 percent",2024-02-04T18:30:00Z
AXIS,"Stocks to Buy: PNC Infratech, PNB, among 4 weekly technical picks of Axis Securities","Stocks to Buy: Axis Securities 4 weekly tech picks are Fertilizers and Chemicals Travancore, JK Lakshmi Cement, PNC Infratech and Punjab National Bank.",2024-01-30T18:30:00Z
AXIS,SBI vs HDFC vs ICICI vs PNB vs BoB vs Kotak vs Axis: Which bank is offering the highest interest rate on fixed deposits?,Fixed deposits are a safe investment option with consistent interest rates. Here is a comparison of top banks' fixed deposit rates for 2024,2024-01-29T18:30:00Z
AXIS,Day trading guide for stock market today: Nine stocks to buy or sell on Tuesday - 30th January,"Day trading stocks: Market experts have recommended nine stocks to buy today — Godrej Properties, Hero MotoCorp, NCC, Axis Bank, Castrol India, Dhampur Sugars, Jindal Saw, etc",2024-01-29T18:30:00Z
