Bank,Title,Description,Published At
BANDHAN,"Stock market today: Zee, Ashok Leyland, Bandhan Bank, Biocon, SAIL among 11 stocks under F&O ban list today","Aditya Birla Fashion, Ashok Leyland, Bandhan Bank, Biocon, Canara Bank, Hindustan Copper, India Cements, Indus Towers, National Aluminium, SAIL, and ZEEL are the 11 stocks that are part of the F&O ban list by the stock market exchange for Feb 20",2024-02-19T18:30:00Z
BANDHAN,"Stock market today: Bandhan Bank, Canara Bank, Delta Corp among 12 stocks under F&O ban list today","Aditya Birla Fashion, Ashok Leyland, Balrampur Chini Mills, Bandhan Bank, Canara Bank, Delta Corp, Hindustan Copper, India Cements, Indus Towers, National Aluminium, SAIL, and ZEEL are the 12 stocks that are part of the F&O ban list by the stock market exchange for Feb 19",2024-02-18T18:30:00Z
BANDHAN,"Stock market today: Ashok Leyland, Canara Bank, Delta Corp among 12 stocks under F&O ban list today","Aditya Birla Fashion, Ashok Leyland, Balrampur Chini Mills, Bandhan Bank, Biocon, Canara Bank, Delta Corp, Hindustan Copper, India Cements, Indus Towers, SAIL, and ZEEL are the 12 stocks that are part of the F&O ban list by the stock market exchange for Feb 16",2024-02-17T18:30:00Z
BANDHAN,"Raksha Bandhan 2024: Know the date, timings, history, and significance",Raksha Bandhan 2024 Date and Time: Rakhi 2024 is a beautiful Hindu festival that celebrates the cherished bond between brothers and sisters. Here's everything you need to know about Rakhi 2024.,2024-02-16T05:25:01Z
BANDHAN,"Stock market today: Aurobindo Pharma, Bandhan Bank, Biocon, among 13 stocks under F&O ban list today","Aditya Birla Fashion and Retail, Ashok Leyland, Aurobindo Pharma, Balrampur Chini Mills, Bandhan Bank, Biocon, Delta Corp, India Cements, Indus Towers, National Aluminium, PNB, SAIL, and ZEEL are the 13 stocks that are part of the F&O ban list by the stock market exchange for Feb 14",2024-02-13T18:30:00Z
BANDHAN,"EY conducting forensic audit of Bandhan Bank loans worth ₹23,000 crore","The audit is being conducted at the behest of the National Credit Guarantee Trustee Company, the common trustee company that operates and manages the government’s various credit guarantee trust funds.",2024-02-12T18:30:00Z
BANDHAN,"Stock market today: Ashok Leyland, Bandhan Bank, PNB, ZEEL, among 13 stocks under F&O ban list today","Aditya Birla Fashion and Retail, Ashok Leyland, Aurobindo Pharma, Balrampur Chini Mills, Bandhan Bank, Biocon, Delta Corp, Hindustan Copper, India Cements, Indus Towers, PNB, SAIL, and ZEEL are the 13 stocks that are part of the F&O ban list by the stock market exchange for Feb 13.",2024-02-12T18:30:00Z
BANDHAN,"Stocks to Watch: Hero Motocorp, ONGC, MCX, Pfizer, DOMS Industries, Bandhan Bank","Here are a few stocks likely to be in focus on Mondya, February 12:",2024-02-11T18:30:00Z
BANDHAN,Bhumi Pednekar on Akshay Kumar reading his dialogues by cue cards: 'I asked him why he does this and he said…',The actress has worked with Akshay Kumar in two films- ‘Toilet Ek Prem Katha’ and ‘Raksha Bandhan’,2024-02-10T01:00:55Z
BANDHAN,Experts cautiously optimistic on RBI monetary policy,"Experts are cautiously optimistic about the Reserve Bank of Indias decision to maintain the REPO rates unchanged at 6.5 per cent for the sixth consecutive time.Siddhartha Sanyal, Chief Economist and Head of Research at Bandhan Bank, provided insights into the potential future trajectory of monetary policy.",2024-02-08T11:21:43Z
