Bank,Title,Description,Published At
Axis,"Stocks to Watch: SBI, Titan, HUL, GAIL, LIC, Tata Power, PVR Inox, Axis Bank, and Others","Stocks to watch: Shares of firms like SBI, Titan, HUL, GAIL, LIC, Tata Power, PVR Inox, Axis Bank, and others will be in focus on Monday's trade.",2023-12-04T03:19:04Z
Axis,"SBI, M&M, Axis Bank to LT: Motilal Oswal recommends 14 stocks to buy after BJP win in assembly elections",Motilal Oswal has recommended SBI and Axis Bank stocks to buy in banking and financial segment,2023-12-03T18:30:00Z
Axis,"48 Nifty 50 stocks closed last week in green, 20 reach new all-time highs","48 out of the 50 constituents of Nifty 50 ended the last week in green. Axis Bank led the pack with an impressive rally of 9.5%, reaching ₹1,104 and achieving a record high of ₹1,109. Bharti Airtel shares, on the other hand, crossed the significant ₹1000 mark on November 29.",2023-12-02T18:30:00Z
Axis,"Bihar bank robbery accused held, was working as security guard in CP","On August 1, the Branch Manager of Axis Bank in Lalganj in Vaishali alleged that four armed robbers entered the bank and robbed around Rs 1 crore from the premises.",2023-12-02T00:26:10Z
Axis,"Axis Securities initiates coverage on smallcap stock with ‘buy’ rating, sees 40% upside; do you own?","Domestic brokerage firm Axis Securities has initiated coverage on PEL with a ‘buy’ rating, setting a target price of ₹915. The brokerage sees a 40 per cent upside on the stock from the current levels with a previous closing price of ₹658.95.",2023-12-01T18:30:00Z
Axis,"India Today-Axis My India exit polls: BJP to sweep MP, close contest with Congress in Rajasthan, Chhattisgarh",India Today-Axis My India exit polls: Here is what India-Today India Today-Axis My India exit poll has predicted for all five states,2023-11-30T18:30:00Z
Axis,Day trading guide for stock market today: Six stocks to buy or sell on Friday - 1st December,"Day trading stocks: Market experts have recommended six stocks to buy today — Jindal Steel, Eicher Motor, CCL Products, Torrent Pharma, Axis Bank and HCL Tech",2023-11-30T18:30:00Z
Axis,Aarti Drugs listed as ‘top pick of the week’ by Axis Securities - 4 key reasons,"The brokerage has a ‘buy’ recommendation on the stock with a target price of ₹528, indicating an upside of 10 percent from its current market price of ₹480.30.",2023-11-27T18:30:00Z
Axis,"Don’t need to raise more capital immediately, says Axis Bank’s CEO Amitabh Chaudhry",Bank’s capital adequacy ratio levels on account of the recent changes in risk weightage increase on select loans were manageable.The bank is focused on building,2023-11-24T08:18:52Z
Axis,Axis Bank analyst meet: To focus on strong digi-retail banking; analysts bullish on stock amid reasonable valuations,"Axis Bank analyst day: Axis Bank focuses on digital journeys and customer experiences at analyst day, achieves 18% RoE over last five quarters. Brokerages reiterate 'buy' rating on Axis Bank stock, highlighting advancements in GPS strategy and strong digital capabilities.",2023-11-23T18:30:00Z
Axis,IT Sector earnings review: Axis lists top hits and misses in Q2; picks 3 top stocks,Axis Securities believes that the recovery in IT space will begin in the second half of the year and FY24 will show strong revenue growth. The brokerage has listed the key hits and misses for the IT space from the September quarter earnings as well as its top picks in the space post the earnings.,2023-11-21T18:30:00Z
Axis,"Stocks to buy this week: RIL, M&M, Exide, YES Bank among 12 technical picks; do you own any?","Axis Securities expects Nifty to trade in the range of 20,200-19,600 with a positive bias this week.",2023-11-19T18:30:00Z
Axis,"Nifty, Sensex trade flat dragged by financial stocks","The Nifty Bank is down a percent in trade after RBI tightened norms on personal loans late evening on Thursday.Axis Bank, SBI, Bajaj Finance, Bajaj Finserv,",2023-11-17T05:05:00Z
Axis,"RBI slaps fines on Axis Bank, Manappuram Finance","Mumbai, The Reserve Bank on Thursday imposed a monetary penalty of Rs 90.92 lakh on Axis Bank and Rs 42.78 lakh on gold loan firm Manappuram Finance for violation",2023-11-16T16:28:00Z
