Bank,Title,Description,Published At
Kotak,"Adani Ports share price hits fresh 52-week high; brokerages Kotak, Citi see further upside","Adani Ports share price jumped 15 per cent in the previous session after it reported a strong 42 per cent year-on-year (YoY) growth in November cargo volumes. Year-to-date, Adani Ports share price has gained about 24 per cent.",2023-12-05T18:30:00Z
Kotak,Day trading guide for stock market today: Four stocks to buy or sell on Tuesday - 5th December,"Day trading stocks: Market experts have recommended four stocks to buy today — ICICI Bank, Kotak Mahindra Bank, OIL, NAM-India",2023-12-04T18:30:00Z
Kotak,Day trading guide for stock market today: Six stocks to buy or sell on Monday - 4th December,"Day trading stocks: Market experts have recommended six stocks to buy today — PNB, Tata Power, Kotak Mahindra Bank, ICICI Bank, Craftsman Automation and Asian Paints",2023-12-03T18:30:00Z
Kotak,MasterChef Season 7 celebrity guest chef Aanal Kotak on the ever-growing food scene in Gujarat,"Celebrity chef Aanal Kotak is currently in the process of writing her second book, which delves into the history and culture of Gujarati cuisine, touted to be the first-ever book to explore the culinary heritage of Gujarat",2023-12-02T07:30:28Z
Kotak,"FPI stake: Coforge, IDFC First Bank and Patanjali Foods see highest increase in Sept quarter","Coforge, IDFC First Bank and Patanjali Foods saw the highest increase in stake by FPIs in the September quarter, as per a report by Kotak Institutional Equities.",2023-11-29T07:12:42Z
Kotak,NFO Alert: Kotak Mahindra Mutual Fund launches Kotak Healthcare Fund; all you need to know,"Kotak Mahindra Mutual Fund announced the launch of the Kotak Healthcare Fund. The scheme opened for public subscription on November 20, 2023, and will close on December 04, 2023.",2023-11-19T18:30:00Z
Kotak,"Samvat 2080 picks: Kotak lists 8 stocks including RIL, Cipla that you can buy this Diwali","The market created history in Samvat 2079 by hitting many milestones. As valuations are rich, opportunities from the correction can be used to add quality stocks. Kotak Securities has identified 8 stocks which are expected to do well in Samvat 2080.",2023-11-18T18:30:00Z
Kotak,‘Better to be stupid now…’: Uday Kotak's advice on taking financial risks,"‘If you do not understand something, do not do it,’ Uday Kotak told a publication, adding that this has been the principle followed at the Kotak Mahindra Bank for the last 40 years.",2023-11-14T18:30:00Z
Kotak,Samvat 2080: Top Stock Picks For Muhurat Trading 2023 Today By Top Brokerages,Diwali Muhurat Trading 2023: Investors need to research thoroughly beforehand for the session; here are the top stock picks by brokerage houses Motilal Oswal and Kotak Securities,2023-11-12T04:50:57Z
Kotak,"Hindalco Q2 results preview: Lower costs, rising volumes to compensate for weak Aluminium prices","Q2 Result Preview- Kotak Institutional Equities expects Aluminium sales volume to rise 4% sequentially, copper volumes to rise 7.1% yoy and 1.7% sequentially. Aluminum Ebitda to rise 17% yoy, 6% sequentially led by lower costs more than offsetting lower LME prices. Copper Ebitda up 8.6% yoy.",2023-11-09T18:30:00Z
Kotak,"Lupin share price gains up to 1.7% as strong US Sales help net profit growth of 277%, to ₹490 Crore beating estimates","Q2 Result Review- Lupin's Q2 net profit of ₹490 crore grew 277 % y-o-y led by strong US sales growth . Analysts at PhillipCapital, MOFSL, Kotak Institutional Equities has estimated Lupin's net profit at ₹384.4 Crore, ₹332.4 Crore and ₹374.2 Crore respectively.",2023-11-08T18:30:00Z
Kotak,Cochin Shipyard share price rises over 3%; Kotak upgrades the stock after Q2 result,"Cochin Shipyard share price has seen robust gains in the last few months. The stock hit its 52-week low of ₹411 on March 27 this year. As of the previous session's close, the stock is up 154 per cent from its 52-week low level.",2023-11-07T18:30:00Z
Kotak,"Swiggy IPO planned in 2024, investment bankers picked: Report","The Softbank-backed firm has likely shortlisted Kotak Mahindra Capital, Citi and JP Morgan ‘for senior roles for the deal’, the report said, citing sources.",2023-11-07T18:30:00Z
Kotak,Kotak bank’s insurance stake sale to Zurich group a signature Uday Kotak deal,The sale is sensible as it helps cut losses and put capital to better use in its bank business,2023-11-04T18:30:00Z
Kotak,"Zurich Insurance to Acquire 51% Stake In Kotak Gen Insurance for Rs 4,051 Crore","Zurich-Kotak General Insurance Deal: Switzerland's Zurich Insurance to Acquire 51% Stake In Kotak Gen Insurance for Rs 4,051 Crore, Zurich will acquire an additional stake of 19 per cent within a period of three years from its initial acquisition",2023-11-02T06:53:35Z
Kotak,"Nifty, Sensex in the green after two days of fall as US Fed keeps rates unchanged","IndusInd Bank, Kotak Mahindra Bank, Axis Bank are the main gainers.Tata Steel has emerged as the only laggard.Seoul, Tokyo, Shanghai and Hong Kong are also",2023-11-02T04:55:03Z
Kotak,"Zurich Insurance set to acquire 51% stake in Kotak General Insurance for ₹4,051 cr","Mumbai, Zurich Insurance Company is set to acquire 51 per cent stake in Kotak General Insurance for Rs 4,051 crore. The investment will be through a combination",2023-11-02T04:45:45Z
Kotak,"Zurich Insurance to acquire 51% stake in Kotak General Insurance ₹4,051 crore","Kotak Mahindra Bank and Kotak Mahindra General Insurance Company have entered into definitive agreements for a transaction with Zurich Insurance Company Ltd, whereby Zurich will invest approximately ₹4,051 crore to acquire a 51% stake in Kotak General Insurance.",2023-11-01T18:30:00Z
Kotak,Kotak's alternative-assets arm raises $120 million for equity fund,"Kotak Iconic Fund, a category-III alternative investment fund, invests in equities with varied market capitalisation through diversified active and passive strategies.",2023-10-31T18:30:00Z
Kotak,What a new CEO means for Kotak,The selection of an external candidate was contrary to the wide-held expectation of an internal candidate taking over.,2023-10-23T18:30:00Z
Kotak,"Nifty, Sensex trade flat in early trade on weak global trends","ICICI Bank, Bajaj Finance, Power Grid are amongst the top gainers.Kotak Mahindra Bank, Tata Steel, Larsen & Toubro are the laggards in trade.In Asian markets,",2023-10-23T04:42:14Z
Kotak,"Stocks to Watch: Kotak Bank, ICICI Bank, JSW Steel, Ambuja Cements, ACC, Paytm","Torrent Pharma, PNB Housing Finance, Alok Industries, Mahindra Holidays, NDTV, and Mahindra Logistics will be among the stocks to watch on Monday as they will be declaring their quarterly earnings report",2023-10-22T18:30:00Z
Kotak,"ICICI Bank, Kotak Mahindra Bank, Yes Bank among other banking stocks in focus after Q2 results",Bank Nifty today will remain in focus as a slew of banking stocks will react to their Q2 results announced over the weekend.,2023-10-22T18:30:00Z
Kotak,Kotak Mahindra Bank share price drops over 2% post Q2 Results; here's what brokerages say,Kotak Mahindra Bank share price falls after Q2 results. Kotak Mahindra Bank reports 24% increase in net profit for Q2. Kotak Mahindra Bank receives approval for new MD and CEO.,2023-10-22T18:30:00Z
Kotak,RBI approves appointment of Ashok Vaswani as MD & CEO of Kotak Mahindra Bank,"In the quarter ended September, the bank’s net profit grew 24 per cent to Rs 3,191 crore from Rs 2,581 crore in the same quarter of FY2023.",2023-10-22T00:30:30Z
Kotak,"Stocks to Buy: Here's why Kotak Bank, IndusInd Bank are a buy","Sell BHEL, buy INDUSINDBANK and KotakBank for potential gains",2023-10-21T18:30:00Z
Kotak,Kotak Mahindra Bank stock may open higher on CEO approval,"The bank has reported a 24% rise in standalone net profit of ₹3,191 crore, beating Motilal Oswal’s estimates",2023-10-21T18:30:00Z
Kotak,International banker Ashok Vaswani to head Kotak Mahindra Bank,"Vaswani has a proven track record spanning three-and-a-half decades, initially at Citigroup and more recently, at Barclays, of building and growing global businesses at scale.",2023-10-21T12:02:03Z
