Bank,Title,Description,Published At
AU,"Q4 results today: Axis Bank, Hindustan Unilever, LTIMindtree, among 23 companies to report Q4 earnings on April 24","Q4 results today: Axis Bank, AU Small Finance Bank, Hindustan Unilever (HUL), LTIMindtree, 5Paisa Capital, Chennai Petroleum Corporation, Dalmia Bharat, DCB Bank, Dhampur Bio Organics, Equitas Small Finance Bank, India Hotels, Lodha, and Maharashtra Scooters will announce their Q4 results today.",2024-04-23T18:30:00Z
AU,Australian Bishop Taken To Hospital After Being Stabbed Multiple Times During Service,"An Australian bishop was rushed to the hospital after he was stabbed multiple times during a service, news.com.au said in a report. Bishop Mar Mari was attacked while delivering sermons in Wakeley, Sydney.",2024-04-15T10:41:43Z
AU,"Sydney Mall Stabbing: Six Dead, Toddler Among Several Injured; Knifeman Gunned Down","Police in Australia’s Sydney are conducting a major police operation in the city’s Westfield Bondi Junction after multiple people were stabbed on Saturday afternoon, Australian news agency news.au.com said in a report.",2024-04-13T06:59:25Z
AU,"Haiti decrees long-awaited transition council, but questions remain","The decree, published in Haiti's official gazette, names the nine political parties or social sectors to be represented on the council, including two non-voting observers, confirming an announcement made last month. The transition plan was announced on March 11 as armed men mounted attacks on parts of Port-au-Prince they did not already control, while Henry remained stranded outside the country.",2024-04-13T01:49:54Z
AU,"Stocks to buy: HUL, BEL, IDFC First Bank among 12 stocks that can rise 8-15% in next 3-4 weeks, say analysts","Stocks to buy: Analysts recommend buying HUL, AU Small Finance Bank, Orient Cement, West Coast Paper Mills, NBCC, Railtel Corp. Positive trends indicated with potential upside targets. Check with experts before investing. Disclaimer: Views not of Mint.",2024-04-07T18:30:00Z
AU,Why merger benefits won’t fix the problem for AU Small Finance,"Amid rapid expansion, AU Small Finance Bank faces asset quality challenges while targeting ambitious post-merger growth with Fincare Small Finance Bank",2024-03-21T18:30:00Z
AU,"AU Small Finance Bank merger with Fincare SFB to be effective from April 1; Should you buy, sell or hold the stock?","AU Small Finance Bank, in October last year, announced the merger scheme with Fincare Small Finance Bank Ltd, which the Reserve Bank of India (RBI) approved earlier this month.",2024-03-18T18:30:00Z
AU,First charter flight with US citizens fleeing Haiti lands in Miami,"Following gang violence that have raged throughout Haiti in recent weeks, forcing many people to the verge of starving, the country's major airport in Port-au-Prince is still closed. As the situation escalated over the weekend, government and relief groups reported theft of assistance supplies",2024-03-18T03:10:46Z
AU,UNICEF says essential aid container looted at Haiti port,"UNICEF said one of its 17 containers had been looted at the Port-au-Prince port, where it said 260 humanitarian-owned containers were controlled by armed groups",2024-03-17T03:45:36Z
AU,Gunfire booms in Haiti as politicians seek to form interim government,"Just outside Port-au-Prince, 'bandits looted and then set fire to the residence of the director general of police' in Santo, the national police union said, adding that an officer was shot and wounded in the courtyard of police headquarters near the airport",2024-03-15T03:13:50Z
AU,"After prime minister pledges to step down, uneasy quiet in Haiti capital","Michel Boisvert, Haiti's acting prime minister while Henry was abroad, has signaled willingness to facilitate an orderly transition, a U.S. State Department official said. There were signs in the capital, Port-au-Prince, of an improvement in the security situation on Tuesday, with the streets quiet and no attacks on government offices or police stations reported.",2024-03-13T01:12:07Z
AU,Australia coach Andrew McDonald backs Mitchell Marsh to lead side at 2024 T20 World Cup,"“I think all roads will lead to Mitch, so just got to get that ticked off in certain areas,” McDonald was quoted as saying on cricket.com.au.",2024-03-12T16:59:10Z
AU,Crisis summit presses Haiti political transition as US ramps up aid,"After armed gangs that already control a large portion of Haiti's capital, Port-au-Prince, launched a campaign of violence, the poorest country in the Western Hemisphere descended into a frenzy of murdering and looting, and worries of starvation began to grow, the Caribbean bloc CARICOM held the meeting in Jamaica",2024-03-12T04:27:36Z
AU,Haitian prime minister Ariel Henry resigns days after gang boss' civil war threat,"Haitian Prime Minister Ariel Henry has resigned, the chair of the Caribbean Community said on Tuesday. The resignation comes after nearly two weeks of gang violence in the island nation's capital city, Port-au-Prince.",2024-03-12T04:15:21Z
AU,Oscars 2024: John Cena Was Not The First Person To Appear Naked At The Academy Awards,Crashing Oscars Au Natural,2024-03-11T15:03:23Z
AU,"US staff, German ambassador evacuated as gang violence torments Haiti","In an attempt to unseat Prime Minister Ariel Henry as head of the poorest nation in the Western Hemisphere, criminal organisations, who already own a large portion of Port-au-Prince and the roadways connecting it to the rest of the nation, have wreaked havoc in recent days",2024-03-11T04:08:03Z
AU,Haiti capital a 'city under siege' amid spasm of gang violence,"In an attempt to unseat Prime Minister Ariel Henry as head of the poorest nation in the Western Hemisphere, criminal organisations, who already own a large portion of Port-au-Prince and the roadways connecting it to the rest of the nation, have wreaked havoc in recent days",2024-03-10T06:20:59Z
AU,Heavy gunfire near Haiti's National Palace in Port-au-Prince,Read more about Heavy gunfire near Haiti's National Palace in Port-au-Prince on Devdiscourse,2024-03-09T01:21:33Z
AU,"Stocks to Watch: Tata Motors, IIFL Finance, Jindal Stainless, Macrotech Developers, AU Small Finance Bank","Here are a few stocks likely to be in focus on Tuesday, March 5:",2024-03-04T18:30:00Z
AU,"Hundreds of inmates flee after armed gangs storm Haiti's main prison, leaving bodies behind","The jailbreak signalled a new low in the violent decline of Haiti. It occurs as organised crime groups intensify their attacks in Port-au-Prince and while Prime Minister Ariel Henry, who is under pressure to secure backing for a security force supported by the UN to stabilise the nation, is overseas",2024-03-04T02:50:01Z
AU,"RBI approves AU-Fincare merger, to take effect on 1 April","Under the merger agreement, shareholders of Fincare Small Finance Bank will get 579 equity shares of AU Small Finance Bank Ltd for every 2,000 fully paid-up equity shares they own.",2024-03-03T18:30:00Z
AU,INSTANT VIEW 5-Japan's Nikkei hits record high,"Japan's Nikkei share average hit a record high on Thursday, surpassing its 1989 peak after a year-long rally driven by cheap valuations, corporate reforms and investment flows diverted from a battered Chinese stock market. Here's what analysts and investors say: TSUTOMU YAMADA, SENIOR MARKET ANALYST, AU KABUCOM SECURITIES, TOKYO ""For us traders, this marks the arrival of a new era.",2024-02-22T05:19:25Z
AU,AU leaders launch Agenda 2063 Plan for Africa’s socio-economic development,Agenda 2063 serves as a 50-year blueprint for Africa’s socio-economic development and integration.,2024-02-19T10:20:06Z
AU,"Woman Cuts World's 'Biggest’ Pain Au Chocolat; Internet Thinks It’s ‘Too Much Pain, Too Little Chocolate'","This delicious French breakfast pastry is best enjoyed warm, with coffee or tea.",2024-01-26T13:30:04Z
AU,"Stocks to Buy: HDFC Bank, ICICI , Axis, AU Bank are the 4 top picks of BNP Paribas among Banks: SBI Life in Insurance","Stocks to Buy: HDFC Bank, ICICI , Axis, AU Bank are the 4 top picks of BNP Paribas among Banks; SBI Life in Insurance . They prefer private banks, IT services, telecoms and are under weight on staples, automobiles and pharma",2024-01-19T18:30:00Z
AU,Port-Au-Prince residents sheltering in place as violence escalates,"Analysts say violence has been escalating for months as gangs jockey for power and seek to put pressure on interim Prime Minister Ariel Henry, ahead of the Feb. 7 expiry of a political accord that consolidated his power. Pierre Esperance, of Human Rights Network RNDDH said two dozen deaths had been reported in Solino, an impoverished neighborhood, since the weekend.",2024-01-18T20:53:08Z
AU,AU Small Finance Bank introduces Mastercard Debit Card for corporate salary clientele; check key features,"AU Small Finance Bank has unveiled the Mastercard Debit Card for its Corporate Salary customers. The card offers discounts on movie tickets, dining, online food delivery, groceries, travel bookings, online shopping, and health and fitness products.",2024-01-02T18:30:00Z
AU,AU Bank Zenith+ Credit Card: From eligibility to benefits; all you need to know,"AU Bank's new Zenith Plus Credit Card is designed for frequent travellers and high-spending individuals. With a joining fee of ₹4999 plus taxes, the card offers rewards on dining, international, and travel expenses.",2023-12-25T18:30:00Z
AU,Day trading guide for stock market today: Five stocks to buy or sell on Thursday - 21st December,"Day trading stocks: Market experts have recommended five stocks to buy or sell today — AU Small Finance Bank, Radico Khaitan, Tata Power, SBI and V-Mart Retail",2023-12-20T18:30:00Z
AU,Day trading guide for stock market today: Six stocks to buy or sell on Friday - 15th December,"Day trading stocks: Market experts have recommended six stocks to buy today — AU Small Finance Bank, Glenmark Pharma, AB Capital, Shriram Finance, Naukri and LTI Mindtree",2023-12-14T18:30:00Z
AU,Buy or sell: Vaishali Parekh recommends three stocks to buy today - December 15,"Buy or sell stocks: Vaishali Parekh has recommended three stocks to buy today — GAIL, L&T Finance and AU Small Finance Bank",2023-12-14T18:30:00Z
AU,Day trading guide for stock market today: Six stocks to buy or sell on Wednesday - December 6,"Day trading stocks: Market experts have recommended six stocks to buy today — Coromandel, Dabur, SBI, Havells, ABFRL, AU Small Finance Bank",2023-12-09T18:30:00Z
AU,"Jaishankar meets his Rwandan counterpart, discusses economic, development cooperation","India's engagement with Rwanda is at three levels, at the African Union (AU) level, at the level of the Regional Economic Communities (RECs) and the bilateral level",2023-12-07T17:28:00Z
AU,Towards a brighter tomorrow: India's G20 Presidency and the dawn of a new multilateralism,"Inclusive, ambitious, action-oriented, and decisive—these four words defined India's approach as G20 president.The inclusion of the African Union (AU) as a",2023-11-30T01:00:00Z
AU,Day trading guide for stock market today: Six stocks to buy or sell on Thursday - 30th November,"Day trding stocks: Market experts have recommended six stocks to buy today — ICICI Bank, AU Bank, SBI, SAIL, FSL and CCL Products",2023-11-29T18:30:00Z
AU,Fincare SFB to be amalgamated into AU Small Finance Bank,"Kolkata, In a significant development in the small finance banking sector, Fincare Small Finance Bank (Fincare SFB) is poised to amalgamate into AU Small Finance",2023-10-30T03:58:18Z
AU,"Stocks to Watch: RIL, Ultratech Cement, AU SFB, NTPC, BPCL, MGL, SBI Card, and Others","Stocks to watch: Shares of firms like RIL, Ultratech Cement, AU SFB, NTPC, BPCL, MGL, SBI Card, and others will be in focus on Monday's trade.",2023-10-30T03:12:53Z
AU,Fincare Small Finance Bank to merge with AU Small Finance Bank,"Fincare Small Finance Bank started its operation on July 21, 2017. Its profit after tax stood at Rs 219 crore as of September-end.",2023-10-29T19:08:24Z
AU,AU Small Finance Bank to merge with Fincare Small Finance Bank,"Under the amalgamation plan, shareholders of Fincare Small Finance Bank will get 579 equity shares of AU Small Finance Bank Ltd for every 2,000 fully paid-up equity shares they own.",2023-10-29T18:30:00Z
AU,"Stocks to Watch: RIL, Maruti Suzuki, Ultratech, AU SFB, Cipla, IDFC First Bank","Adani Green, Marico, TVS Motor, UPL, P&G Health, GMR Airports Infra, Blue Star, and Emkay Global Finance, will be among the stocks to watch on Monday as they will be declaring their quarterly earnings report",2023-10-29T18:30:00Z
AU,Haiti democratic transition council says secretary-general kidnapped,"Local media reported, citing HCT head Mirlande Manigat, that Saint-Pierre was kidnapped around noon in the Debussy neighborhood of the capital Port-au-Prince by heavily armed men dressed as police officers. In nearby Petion-Ville, local media said clashes had taken place between Haiti's national police and members of the Kraze Barye gang.",2023-10-18T23:45:22Z
