Bank,Title,Description,Published At
BANDHAN,"Stock market today: Vodafone Idea, Metropolis Healthcare, Bandhan Bank among 10 stocks under F&O ban list on April 18","Balrampur Chini Mills, Bandhan Bank, GNFC, Hindustan Copper, Vodafone Idea, Metropolis Healthcare, National Aluminium, Piramal Enterprises, SAIL, and ZEEL are the 10 stocks that are part of the F&O ban list by the bourse for April 18.",2024-04-17T18:30:00Z
BANDHAN,"Stock market today: Bandhan Bank, Exide Industries, GNFC among 11 stocks under F&O ban list on Tuesday - April 16","Balrampur Chini Mills, Bandhan Bank, Exide Industries, GNFC, Hindustan Copper, India Cements, Metropolis Healthcare, National Aluminium, Piramal Enterprises, SAIL, and ZEEL are the 11 stocks that are part of the F&O ban list by the stock market exchange for April 16",2024-04-15T18:30:00Z
BANDHAN,"Stock market today: Bandhan Bank, SAIL, ZEEL stocks under F&O ban list today","Bandhan Bank, SAIL, and ZEEL are the 3 stocks that are part of the F&O ban list by the stock market exchange for April 09.",2024-04-08T18:30:00Z
BANDHAN,Bandhan Bank's Ghosh not to be part of the board post-retirement,The board may even look at appointing an interim CEO post his tenure,2024-04-07T18:30:00Z
BANDHAN,"Stock market today: Bandhan Bank, Hindustan Copper, SAIL, ZEEL stocks under F&O ban list today","Bandhan Bank, Hindustan Copper, SAIL, and ZEEL are the 4 stocks that are part of the F&O ban list by the stock market exchange for April 08",2024-04-07T18:30:00Z
BANDHAN,"Bandhan Bank share price falls over 9% after MD & CEO resigns; Jefferies downgrades stock, cuts target","The board of directors of Bandhan Bank on April 05 took on record the letter submitted by its Managing Director & Chief Executive Officer Chandra Shekhar Ghosh informing that he would retire from the services of the Bank as the MD & CEO upon completion of his current tenure on July 09, 2024.",2024-04-07T18:30:00Z
BANDHAN,Bandhan Bank's Ghosh not to be part of board post retirement,"Explaining the rationale behind this sudden decision to step down, Ghosh clarified that it was a voluntary decision and that the RBI had no role to play in this.",2024-04-07T18:30:00Z
BANDHAN,"RBI imposes penalty on Bank of India, Bandhan Bank","The penalty on Bank of India has been imposed for non-compliance with the RBI's directions related to 'interest rate on deposits', 'customer service in banks', 'interest rate on advances', and contravention of provisions of Credit lnformation Companies Rules, 2006.",2024-03-13T14:25:21Z
BANDHAN,"Stock market today: Ashok Leyland, Piramal Enterprises, PVR INOX among 15 stocks under F&O ban list today","Ashok Leyland, Balrampur Chini Mills, Bandhan Bank, Biocon, Canara Bank, GMR Infra, GNFC, Hindustan Copper, India Cements, Indus Towers, National Aluminium, Piramal Enterprises, PVR INOX, RBL Bank, and ZEEL are the 15 stocks that are part of the F&O ban list for Feb 22",2024-02-26T18:30:00Z
BANDHAN,"Stocks to Watch: Voda Idea, Eureka Forbes, SpiceJet, Jana SFB, Bandhan Bank, and Others","Stocks to watch: Shares of firms like Voda Idea, Eureka Forbes, SpiceJet, Jana SFB, Bandhan Bank, and others will be in focus on Friday's trade.",2024-02-23T02:54:06Z
BANDHAN,"Stock market today: SAIL, Biocon, ZEEL among 15 stocks under F&O ban list today","Aditya Birla Fashion, Ashok Leyland, Balrampur Chini Mills, Bandhan Bank, Biocon, GMR Infra, GNFC, Hindustan Copper, Indus Towers, National Aluminium, Piramal Enterprises, PVR INOX, RBL Bank, SAIL, and ZEEL are the 15 stocks that are part of the F&O ban list by the stock market exchange for Feb 23",2024-02-22T18:30:00Z
BANDHAN,Bandhan Bank appoints Citi India's Rajeev Mantri as chief financial officer,"Abhijit Ghosh ceases to be the interim CFO, to continue as head of finance and accounts of Bandhan Bank.",2024-02-21T18:30:00Z
