Bank,Title,Description,Published At
BOB,‘Bob Marley One Love’ resurrects the reggae legend,Reinaldo Marcus Green’s film stars Kingsley Ben-Adir as the dreadlocked reggae musician.,2024-04-21T11:00:00Z
BOB,"Bob Graham, ex-US senator and Florida governor, dies at 87","Graham, who served three terms in the Senate, made an unsuccessful bid for the 2004 Democratic presidential nomination, emphasising his opposition to the Iraq invasion.",2024-04-17T05:20:47Z
BOB,"General Elections 2024: How macroeconomic factors like equities, FPIs, inflation this year compare with 2019 polls","A recent report by BoB Economics delves into the macroeconomic factors during the previous election cycle in 2019 and compares them with the current year. The report highlights the months of April and May, the period when the elections are scheduled, as the focal point of analysis.",2024-04-15T18:30:00Z
BOB,"Stocks to Watch: TCS, Bharti Hexacom, Wipro, Voda Idea, PVR Inox, BoB, and Others","Stocks to watch: Shares of firms like TCS, Bharti Hexacom, Wipro, Voda Idea, PVR Inox, BoB, and others will be in focus on Friday's trade.",2024-04-12T02:57:08Z
BOB,Did You Know Flight Attendants Have Code Names For Passengers They Like?,"While looking through the pamphlets to see what you can get on board, you might hear the name “Bob,” which could mean that a flight attendant has developed feelings for you.",2024-04-08T12:04:02Z
BOB,"After Netflix, Disney CEO Bob Iger plans to crack down on password-sharing staring in June","Disney CEO Bob Iger plans to tackle password-sharing on the streaming platform in June to boost subscriber growth and profitability, aiming for double-digit margins.",2024-04-04T18:30:00Z
BOB,Day trading stocks: BPCL to Bank of Baroda - Anand Rathi expert recommends three shares to buy today - April 5,"Day trading stocks: Ganesh Dongre of Anand Rathi has recommended three shares to buy today — HCL Technologies, BoB, and BPCL",2024-04-04T18:30:00Z
BOB,"Bob Iger says 'woke' Disney is over, but it may not silence his critics",Disney CEO Bob Iger wants people to know the company isn't trying to advance a political agenda.Conservatives have criticized the company for having LBGTQ+,2024-04-03T22:23:00Z
BOB,Disney vote is a referendum on Bob Iger’s many CEO contract extensions,The entertainment giant’s past handling of Iger’s succession is a key criticism that Trian Partners has raised in pushing for board seats.,2024-04-02T18:30:00Z
BOB,Disney Moving Closer to Win Over Trian With Vanguard Backing,"Walt Disney Co. and Chief Executive Officer Bob Iger are poised to triumph over Nelson Peltz’s Trian Fund Management in a costly, months-long proxy battle, according to people with knowledge of the matter.",2024-04-02T18:30:00Z
BOB,"Lok Sabha Elections: ‘Abki baar 400 paar’, Modi supporters hold car rally in Atlanta | Watch",BJP supporters organize car rally in London and Australia with over 250 participants showing support for Modi in 2024 elections. UK Parliamentarian Bob Blackman highlights Indian diaspora's role in shaping homeland's future.,2024-03-31T18:30:00Z
BOB,"SBI vs Bank of Baroda green fixed deposits (FDs): Check tenure, interest rate, and other details here",State Bank of India (SBI) and Bank of Baroda (BoB) launch green deposit schemes to fund environment-friendly projects,2024-03-13T18:30:00Z
BOB,Bank of Baroda launches special FD scheme with attractive rates: 5 things to know about bob Earth Green Term Deposits,"Bank of Baroda's BOB Earth Green Term Deposits offer attractive interest rates on various tenors, allowing depositors to contribute to India's green economy",2024-03-12T18:30:00Z
BOB,Merger with Reliance would boost company's profits and reduce risk in India: Disney CEO Bob Iger,"New Delhi, Walt Disney CEO Bob Iger has said a joint venture with Reliance Industries after merging its India business would benefit the company in terms of",2024-03-10T05:53:00Z
