Bank,Title,Description,Published At
IDFC,"Jefferies initiates coverage on IDFC First Bank with a ‘buy’, sees over 15% upside - 3 reasons why","Jefferies has initiated coverage on private sector lender IDFC First Bank with a 'buy' call and a target price of ₹100, indicating a potential upside of over 15 percent from today's (April 10) closing price of ₹84.71.",2024-04-09T18:30:00Z
IDFC,"Stocks to buy: HUL, BEL, IDFC First Bank among 12 stocks that can rise 8-15% in next 3-4 weeks, say analysts","Stocks to buy: Analysts recommend buying HUL, AU Small Finance Bank, Orient Cement, West Coast Paper Mills, NBCC, Railtel Corp. Positive trends indicated with potential upside targets. Check with experts before investing. Disclaimer: Views not of Mint.",2024-04-07T18:30:00Z
IDFC,IDFC First Bank share price declines more than 3% on bulk deal news reports,Stock Market today: IDFC First Bank share price declined more than 3% in the intraday trades on Thursday on the bulk deal news reports.,2024-03-27T18:30:00Z
IDFC,"Stocks to Watch: BHEL, IDFC First Bank, Dr. Reddy's, REC, Chalet Hotels, Alkem","Here are a few stocks likely to be in focus on Thursday, March 28:",2024-03-27T18:30:00Z
IDFC,"Credit growth trajectory likely to slow down to 12-14% YoY over FY25-27, says Emkay Global","Private banks like HDFC Bank, ICICI Bank, Axis Bank, IndusInd Bank and IDFC First Bank are in a branch expansion mode and have identified their niche focus areas to mobilize retail deposits, but PSU Bank, except the likes of SBI and Bank of Baroda, still lag and could, thus, suffer in the long run.",2024-03-21T18:30:00Z
IDFC,IDFC First Bank share price in focus after MD & CEO gifts 7 lakh equity shares to 5 people not related to him,"IDFC First Bank informed that its Managing Director & CEO V. Vaidyanathan gifted 7,00,000 equity shares of the company held by him on March 21 to five people without consideration.",2024-03-21T18:30:00Z
IDFC,Buy or sell: Vaishali Parekh recommends three stocks to buy today - March 7,"Buy or sell stocks: Vaishali Parekh has recommended three stocks to buy today — Birlasoft, Union Bank of India, and IDFC First Bank",2024-03-06T18:30:00Z
IDFC,Buy or sell: Vaishali Parekh recommends three stocks to buy today - February 26,"Buy or sell stocks in Indian stock market: Vaishali Parekh has recommended three stocks to buy today — Jai Corp, IDFC First Bank, and Happiest Minds",2024-02-25T18:30:00Z
IDFC,"Stocks to Watch: Reliance Industries, ICICI Bank, HUL, Paytm","ICICI Bank, Kotak Mahindra Bank, Union Bank of India, IDBI Bank, IDFC First Bank, Indian Renewable Energy Development Agency, Persistent Systems, Aarti Surfactants, JK Cement, and Tatva Chintan Pharma Chem, are among the companies set to announce their quarterly earnings on January 20",2024-01-19T18:30:00Z
IDFC,"Q3 Results today: ICICI Bank, Kotak Mahindra Bank, IREDA, others to announce Q3 earnings","Q3 Results today: Major banks like ICICI Bank, IDBI Bank, IDFC First Bank, Kotak Mahindra Bank, and Union Bank of India will release their Q3 results, among 40 companies.",2024-01-19T18:30:00Z
IDFC,"IDFC First Bank Q3 Results: Net profit rises 18% to ₹715 crore, NII up 30.5% YoY; asset quality stronger","IDFC First Bank Q3 Results: The bank registered a growth of 37 per cent in net profit at ₹2,232 crore in the nine-months ended December 31, 2023, compared to ₹1,635 crore in the year-ago period.",2024-01-19T18:30:00Z
IDFC,"After SBI, four top lenders including HDFC Bank, IDFC Bank raise MCLR; check latest rates here","A number of banks followed SBI’s footsteps to raise MCLR. These lenders include HDFC Bank, IDFC Bank and Punjab National Bank.",2024-01-08T18:30:00Z
