Bank,Title,Description,Published At
INDUSIND,"IndusInd Bank Q4 results review: What HSBC, Jefferies and other brokerages make of the lender's earnings report","IndusInd Bank shares fell 2 percent in intra-day deals today, April 26, after some brokerages cut EPS (earnings per share) estimates for the private sector lender despite it posting a 15 percent jump in its March quarter (Q4FY24) net profit.",2024-04-25T18:30:00Z
INDUSIND,Day trading stocks to buy: Anand Rathi expert recommends three shares to buy today - April 25,"Day trading stocks to buy today: Anand Rathi expert Ganesh Dongre has recommended three shares to buy today — IndusInd Bank, Federal Bank, and GAIL",2024-04-24T18:30:00Z
INDUSIND,"Q4 results today: Bajaj Finance, IndusInd Bank, Tech Mahindra among 38 companies to report Q4 earnings on April 25","Q4 results today: Bajaj Finance, Nestle India, Tech Mahindra, IndusInd Bank, Schaeffler India, ACC, MphasiS, Coromandel International, Laurus Labs, Cyient, TTML, Olectra Greentech, etc. will announce their Q4 results today",2024-04-24T18:30:00Z
INDUSIND,"Stocks to buy: ICICI Bank, IndusInd Bank and SBI - top stock picks among banks from Motilal Oswal ahead of Q4 results","Stocks to buy: ICICI Bank, Axis Bank and Kotak Mahindra Bank are expected to see a 7-11 bps moderation in NIM, while it expects flat NIMs for HDFC Bank, RBL Bank, SBI, IndusInd Bank and Union Bank of India.",2024-04-07T18:30:00Z
INDUSIND,Stocks to buy or sell: BHEL to Bajaj Finserv - Sumeet Bagadia recommends three shares to buy on Monday - April 8,"Stocks to buy or sell: Sumeet Bagadia of Choice Broking has recommended three shares to buy on Monday — Bajaj Finserv, IndusInd Bank, and BHEL",2024-04-05T18:30:00Z
INDUSIND,"Stocks to Watch: HDFC Bank, Bajaj Finance, IndusInd Bank, Nestle, Cipla, Nazara, and Others","Stocks to watch: Shares of firms like HDFC Bank, Bajaj Finance, IndusInd Bank, Nestle, Cipla, Nazara, and others will be in focus on Friday's trade.",2024-04-05T03:25:39Z
INDUSIND,Swiggy Instamart Partners With Park+ For Lightning-Fast Delivery Of IndusInd Bank FASTags,"Swiggy Instamart teams up with Park+ for lightning-fast delivery of IndusInd Bank FASTags, revolutionizing convenience for car owners nationwide.",2024-04-02T03:25:42Z
INDUSIND,Irdai seeks details of IndusInd International shareholders for R-Cap deal nod,"On 27 February, the NCLT gave its nod to IIHL's ₹9,650 crore-plan to take over the debt-laden Reliance Capital under the corporate insolvency resolution process of the Insolvency and Bankruptcy Code, 2016",2024-03-26T18:30:00Z
INDUSIND,Buy or sell: Sumeet Bagadia recommends three stocks to buy on Tuesday - March 26,"Buy or sell stocks: Sumeet Bagadia of Choice Broking has recommended three stocks to buy on Tuesday — ITC, IndusInd Bank, and M&M",2024-03-25T18:30:00Z
INDUSIND,"Credit growth trajectory likely to slow down to 12-14% YoY over FY25-27, says Emkay Global","Private banks like HDFC Bank, ICICI Bank, Axis Bank, IndusInd Bank and IDFC First Bank are in a branch expansion mode and have identified their niche focus areas to mobilize retail deposits, but PSU Bank, except the likes of SBI and Bank of Baroda, still lag and could, thus, suffer in the long run.",2024-03-21T18:30:00Z
INDUSIND,"Sensex surges 540 points, Nifty crosses 22,000 mark post-Fed decision","On the Sensex, stocks of NTPC, PowerGrid, Tata Steel, IndusInd Bank, and Tata Motors witnessed significant gains, while Airtel, ICICI Bank, Maruti, and Asian Paints ended in the red.",2024-03-21T10:53:22Z
INDUSIND,Stock market today: Day trading guide for Nifty 50 to Sensex; nine stocks to buy or sell on Wednesday - March 20,"Stocks to buy today: Experts have recommended nine day trading stocks for today — RHI Magnesita India, Polyplex, Delhivery, Sun Pharma, TVS Motor, Mazagon Dock Shipbuilders, Carborundum Universal, KPR Mill and Indusind Bank.",2024-03-19T18:30:00Z
INDUSIND,Sumeet Bagadia lists IndusInd Bank as the top 'Maha Shivratri Pick'; here's why,"Sumeet Bagadia of Choice Broking has chosen private sector lender IndusInd Bank as his ‘Maha Shivratri Pick’. Bagadia has recommended a ‘Buy’ on the banking stock at ₹1,550 and up to ₹1,510 for a target price of ₹1,690 to ₹1,800.",2024-03-09T18:30:00Z
INDUSIND,Stock market today: Nine stocks to buy or sell during special trading session on Saturday - 2nd March 2024,"Day trading stocks: Experts have recommended nine stocks to buy during special trading session on Saturday — ACE, Suven Pharmaceuticals, HDFC Bank, Welspun Corp, NMDC, REC, JSw Steel, TVS Motor Company, and IndusInd Bank",2024-03-01T18:30:00Z
INDUSIND,"Indian stock market today: Day trading guide for Nifty 50 to Sensex, nine stocks to buy or sell today - Feb 28","Indian stock market today: Experts recommend nine stocks to buy or sell today — Larsen and Toubro, CESC, DLF, GAIL, Zensar Tech, BSE, Indusind Bank, Railtel and Tata Motors.",2024-02-27T18:30:00Z
