Bank,Title,Description,Published At
ICICI,"Chanda Kochhar, her husband's arrest in loan fraud case amounts to abuse of power by CBI: HC","Mumbai, The arrest of ICICI Bank's former Managing Director and Chief Executive Officer (CEO) Chanda Kochhar and her husband Deepak Kochhar by the Central",2024-02-19T07:33:00Z
ICICI,"NTPC, Star Cement and more: ICICI Direct lists 4 high conviction picks",Nifty50 hit a new record high in intra-day dels today (February 19) following gains in Asian peers. Most analysts expect the markets to continue gaining ahead of the elctiona with bouts of volatility. Brokerage ICICI Direct has come out with 4 high conviction picks for investors. Let's take a look:,2024-02-18T18:30:00Z
ICICI,"Stock market today: Nifty 50, Sensex rise for 5th straight day; ICICI Bank, RIL among top contributors","Stock market today: Nifty 50 closed at 22,122.25, up 82 points, or 0.37 per cent while the Sensex settled with a gain of 282 points, or 0.39 per cent, at 72,708.16.",2024-02-18T18:30:00Z
ICICI,Buy or sell: Dharmesh Shah of ICICI Securities recommends buying Gail India and Gujarat Pipavav Port stock this week,Buy or sell stocks: Dharmesh Shah of ICICI Securities has recommended two stocks to buy this week - Gail (India) Ltd and Gujarat Pipavav Port Ltd.,2024-02-18T18:30:00Z
ICICI,"Investors below 35 most financially savvy, says report","Over 6 in 10 respondents rely on friends, family and their bank relationship manager as key sources of information for understanding how to make tax savings, reveals ICICI Lombard’s report on Emerging Trends in health insurance",2024-02-16T18:30:00Z
ICICI,NMDC share price jumps over 7% on robust Q3 results; here's what brokerages say,NMDC share price jumped over 7% to touch a 52-week high following robust Q3 results. ICICI Direct Research expects positive outlook for NMDC stock amidst healthy volume growth and strong profitability.,2024-02-14T18:30:00Z
ICICI,"Valentine's Day 2024: Seven benefits of joint savings account offered by SBI, HDFC, ICICI, and other banks","Banks like SBI, ICICI, HDFC, and more offer joint savings accounts with additional benefits like cashback, free movie tickets, and fee waivers",2024-02-13T18:30:00Z
ICICI,ICICI Bank branch manager withdrew money from deposits for years to meet business targets: Report,"The matter turned worse when someone got a whiff of it and started blackmailing the officials. Hence, this withdrawal of money from the accounts continued and the money was used to pay the Udaipur-based individual as hush money so that the whole act can be kept under wraps, said the report.",2024-02-13T18:30:00Z
ICICI,"Sensex, Nifty under pressure as Monday morning sees volatile session","Wipro, HCL, Tech Mahindra and Infosys were the major gainers.PowerGrid, Hindustan Unilever, Reliance, Bharti Airtel and ICICI Bank were among the laggards.Among",2024-02-12T05:09:00Z
ICICI,HDFC vs ICICI: A tale of two fund houses and their BAFs,Deciding which balanced advantage fund is better for you depends on your risk appetite.,2024-02-11T18:30:00Z
ICICI,Buy or Sell: Dharmesh Shah of ICICI Securities recommends buying Infosys and Indian Hotel stock this week,Buy or sell stocks: Dharmesh Shah of ICICI Securities has recommended two stocks to buy this week - Infosys Ltd and Indian Hotel Co Ltd.,2024-02-11T18:30:00Z
ICICI,ICICI Bank raises FD interest rates for large amounts. Check details here,The private lender now offers 7.40 percent on its one-year fixed deposits to both regular and senior citizens on sums over ₹2 crore.,2024-02-10T18:30:00Z
ICICI,"ICICI Lombard Health AdvantEdge: From benefits to options, all you need to know","ICICI Lombard Health AdvantEdge is a comprehensive and affordable health insurance plan that provides coverage for hospitalization-related expenses. It offers flexible coverage, a range of features and benefits, and caters to the unique medical needs of individuals and families.",2024-02-10T18:30:00Z
ICICI,ICICI Prudential Life Insurance launches ‘ICICI Pru Gold Pension Savings’ plan; key things to know,"ICICI Prudential Life Insurance introduces ICICI Pru Gold Pension Savings, a new pension product aimed at helping individuals build a retirement corpus. It offers guaranteed capital safety, health check-ups, partial withdrawals, and annual bonuses.",2024-02-07T18:30:00Z
ICICI,"ICICI Bank-Videocon case: Bombay HC confirms interim bail granted to Chanda Kochhar, husband","While granting interim bail last year, the HC said the reason to arrest the Kochhars four years after the probe began was ‘not spelt out’ in the arrest memos.",2024-02-06T11:36:02Z
ICICI,"HDFC Bank gets RBI nod to acquire up to 9.5% stake in ICICI Bank, 5 others","As per RBI directions, HDFC Bank will have to ensure that the aggregate holding in the 6 banks does not exceed 9.50 per cent of the paid up share capital or voting rights of the respective banks, at all times.",2024-02-06T07:10:08Z
ICICI,Buy or sell: Dharmesh Shah of ICICI Securities recommends these 2 stocks to buy this week,Buy or sell stocks: Dharmesh Shah of ICICI Securities has recommended two stocks to buy this week - NTPC Ltd and Coforge Ltd.,2024-02-04T18:30:00Z
ICICI,"Nifty 50 may hit 23,400 in pre-election rally; expect PSU banks, IT, power stocks to lead gains, says ICICI Securities","ICICI Securities expects Nifty 50 to head for 23,400 by June 2024 and meanwhile form a durable bottom in February - March period wherein 20,500-20,800 to act as strong support.",2024-02-04T18:30:00Z
ICICI,"PPF account: How to open Public Provident Fund account online with SBI, HDFC Bank, ICICI Bank. A step-by-step guide","PPF offers 7.1% interest annually and can be opened online through SBI, HDFC, and ICICI",2024-02-03T18:30:00Z
ICICI,Nifty February series outlook: 4 stocks where investors can park their money; do you own?,"ICICI Bank, National Aluminium Co. Ltd, Crompton Greaves Consumer Electricals Ltd, and HPCL are the top picks for the February series, according to Religare Broking. Here's why the brokerage sees the stocks outperforming this month.",2024-02-02T18:30:00Z
ICICI,"Extra pillion riders on bike contribute to negligence, says Karnataka HC as it cuts compensation in accident case","The claimant invited the risk on herself by travelling on a bike with three other people, Karnataka High Court said while hearing an appeal by ICICI Lombard.",2024-02-01T13:01:21Z
ICICI,SBI vs HDFC vs ICICI vs PNB vs BoB vs Kotak vs Axis: Which bank is offering the highest interest rate on fixed deposits?,Fixed deposits are a safe investment option with consistent interest rates. Here is a comparison of top banks' fixed deposit rates for 2024,2024-01-29T18:30:00Z
ICICI,Buy or sell: Dharmesh Shah of ICICI Securities recommends these two stocks to buy this week,Buy or sell stocks: Dharmesh Shah of ICICI Securities has recommended two stocks to buy this week - Reliance Industries Ltd (RIL) and Steel Authority of India Ltd (SAIL).,2024-01-28T18:30:00Z
ICICI,"Insurance plans vital to retirement planning, says Srinivas Balasubramanian of ICICI Prudential",Retirement planning can be divided into two phases: the accumulation phase and the pay-out phase. Insurance companies offer products that can help in both phases.,2024-01-27T18:30:00Z
ICICI,Market cap of 7 out of top 10 most valued firms decline by ₹1.16 lakh crore; HDFC Bank biggest laggard,"Among the top-10 companies by market value, Reliance Industries, Tata Consultancy Services (TCS), HDFC Bank, Life Insurance Corporation of India (LIC), Hindustan Unilever, ITC, and State Bank of India experienced declines, while ICICI Bank, Infosys, and Bharti Airtel emerged as gainers.",2024-01-27T18:30:00Z
ICICI,ICICI Lombard to acquire 1.08 % stake in Karnataka Bank for ₹100 crore,The Board of Directors of Karnataka Bank has granted approval for the infusion of an additional equity capital of ₹700 crore.,2024-01-27T18:30:00Z
ICICI,Why the stock market is showing more love for ICICI Bank than HDFC Bank,"In the short term, while ICICI Bank seems poised to outshine HDFC Bank, a proper comparison of actual operational strength will be possible only after it increases its retail branches.",2024-01-26T18:30:00Z
ICICI,"Magic of compounding: If you invested ₹1 lakh in this mutual fund, it would have grown to ₹26 lakh in 21 years","ICICI Prudential S&P BSE Sensex ETF was launched on Jan 10, 2003 and has given an annualised return of 16.9 percent in the past 21 years.",2024-01-26T18:30:00Z
ICICI,Delisting discontent boils over at ICICI Securities meet,Iinvestors are upset over the proposal to turn ICICI Securities into a wholly owned subsidiary of parent ICICI Bank,2024-01-26T18:30:00Z
ICICI,Relief for Sebi as SC stays SAT order in Karvy Stock Broking case,"Sebi's plea contested SAT's previous ruling, which had favoured major lenders such as Axis Bank, ICICI Bank, HDFC Bank, IndusInd Bank, and Bajaj Finance.",2024-01-25T18:30:00Z
ICICI,ZEE-Sony merger collapse: Mutual funds that have highest and lowest exposure to ZEE,"Out of the 42 AMCs, only 29 invested in ZEE, while the remaining 13 held a very small amount of the stock, with ICICI Mutual Fund holding the highest exposure to ZEE.",2024-01-23T18:30:00Z
ICICI,Buy or sell: Dharmesh Shah of ICICI Securities recommends these two stocks to buy this week,Buy or sell stocks: Dharmesh Shah of ICICI Securities has recommended two stocks to buy this week - GAIL (India) and Bank of Baroda.,2024-01-23T18:30:00Z
ICICI,Budget 2024: Dharmesh Shah of ICICI Securities reveals trading strategy for February 1; details here,"The forthcoming interim budget is expected to set the framework for future policy decisions. As investors are interested in trading strategies for the day of the interim budget on February 1, 2024. Key support levels for Nifty 50 and Bank Nifty are discussed by Dharmesh Shah, AVP, ICICI Securities.",2024-01-23T18:30:00Z
ICICI,"Sensex, Nifty rally firm in morning trade following global cues","Cipla, ICICI Bank, Sun Pharma, Power Grid Corp, and Bharti Airtel were the top five gainers.Asian Paints, Hindustan Unilever, Britania, HDFC Bank, and BPCL",2024-01-23T04:38:00Z
ICICI,"Stocks To Watch: Zee, TCS, Cipla, ICICI Bank, SAIL & Others","Which stocks are poised to be in focus on January 23, and what are the specific reasons driving attention towards them?",2024-01-23T03:10:02Z
ICICI,"Stocks to Watch: ICICI Bank, Cipla, ZEE, Axis Bank, Coforge","Axis Bank, Indus Towers, JSW Energy, L&T Finance Holdings, Havells India, Karnataka Bank, REC, Tata Elxsi, United Spirits, Cyient DLM, Glenmark Life Sciences, ICRA and Tanla Platforms are the companies scheduled to announce their third quarter earnings on January 23",2024-01-22T18:30:00Z
ICICI,ICICI Bank share price jumps over 5% to 52-week high after Q3 results; should you buy?,"ICICI Bank saw the healthy credit growth enduring in Q3 too, but interest reversal on KCC loans and rising funding cost led to a 10 bps QoQ and 22 bps YoY margin normalization to 4.4%.",2024-01-22T18:30:00Z
ICICI,"These credit cards by top 5 banks including HDFC Bank, ICICI Bank offer free access to airport lounges. Check full list","Some credit cards give unlimited access to domestic airport lounges, while others give anywhere between 8 and 12 free visits in one calendar year.",2024-01-21T18:30:00Z
ICICI,"ICICI Bank reports margin contraction in Q3, net interest margins drop to 4.43%","Despite margin contraction, ICICI Bank reported a net income increase of 24% in Q3.",2024-01-20T18:30:00Z
ICICI,"Bears maul Indian Market: Top 5 Indian firms shed ₹1.67 lakh crore, HDFC Bank leads tumble","Among top 10 firms, Reliance Industries, TCS, HDFC Bank, Hindustan Unilever, and SBI saw a reduction in their valuation, while ICICI Bank, Infosys, Bharti Airtel, LIC, and ITC emerged as gainers.",2024-01-20T18:30:00Z
ICICI,"ICICI Bank Q3 profit surges over 25 per cent to Rs 11,053 crore on lower provisions","ICICI Bank's core net interest income rose by 13.4 per cent to Rs 18,678 crore, while the net interest margin narrowed from 4.65 per cent to 4.43 per cent year-on-year.",2024-01-20T18:30:00Z
ICICI,"Stocks to Watch: Reliance Industries, ICICI Bank, HUL, Paytm","ICICI Bank, Kotak Mahindra Bank, Union Bank of India, IDBI Bank, IDFC First Bank, Indian Renewable Energy Development Agency, Persistent Systems, Aarti Surfactants, JK Cement, and Tatva Chintan Pharma Chem, are among the companies set to announce their quarterly earnings on January 20",2024-01-19T18:30:00Z
ICICI,"Q3 Results today: ICICI Bank, Kotak Mahindra Bank, IREDA, others to announce Q3 earnings","Q3 Results today: Major banks like ICICI Bank, IDBI Bank, IDFC First Bank, Kotak Mahindra Bank, and Union Bank of India will release their Q3 results, among 40 companies.",2024-01-19T18:30:00Z
ICICI,"ICICI Bank Q3 Results: Operating profit rises 10% YoY, asset quality stable; 5 key highlights",ICICI Bank Q3 Results: The bank recorded significant growth in digital and payments platforms as it witnessed more than 1 crore activations from non-ICICI Bank account holders on the Bank’s mobile banking app,2024-01-19T18:30:00Z
ICICI,ICICI Bank share price in focus ahead of Q3 results today. Do you own?,"ICICI Bank Q3 results today are expected to show solid loan book growth and robust retail franchises, although experts anticipate further compression in NIMs during the October to December 2023 quarter",2024-01-19T18:30:00Z
