Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
AU,80% Of Port-Au-Prince In Haiti Under Criminal Gangs As Violence Escalates,"Velina Elysee Charlier, a human rights activist, claims that she has witnessed enough deaths to haunt her for many lifetimes.",2023-06-21,770.950012,773.849976,748.099976,749.549988,748.564026,1089259.0,-0.8176,-0.4019
AU,Rs 30 cr fraud case: AU president’s pre-arrest bail plea rejected,"Based on a complaint filed by Jani, Rajkot Taluka police had booked “secretary and administrators” of the SKM, Dharmesh Jivani, Dharmesh’s wife Vaishakhi Jivani, and another person, Nilesh Makwana, under various IPC sections.",2023-06-28,753.75,756.900024,742.549988,747.799988,746.816345,2946020.0,-0.7964,-0.296
AU,"Stocks to Watch: LTIMindtree, SBI, RBL Bank, Bandhan Bank, Lupin, AU SFB, and Others","Stocks to watch: Shares of firms like LTIMindtree, SBI, RBL Bank, Bandhan Bank, Lupin, AU SFBs, and others will be in focus on Wednesday's trade.",2023-07-05,777.049988,782.5,761.099976,769.049988,768.038391,2810140.0,0.0,0.5719
AU,Indian nursing student in Australia buried alive by boyfriend in horrific ‘act of vengeance’,"Jasmeen Kaur was abducted from her workplace on March 5, 2021, and driven more than 400 miles (644 km) while bound with cable ties in the boot of a car Singh had borrowed from his flatmate, news.com.au portal and other websites reported on Wednesday.",2023-07-06,768.450012,792.0,766.049988,789.849976,788.810974,1665090.0,-0.4215,-0.5106
AU,AU Bank net profit jumps 44 pc to Rs 387 cr on higher advances,"However, the net interest margin declined to 5.7 per cent from 5.9 per cent in the same period a year ago.Founder and chief executive Sanjay Agarwal told PTI from Jaipur that the fall was due to higher deposit pricing that the bank had to do to attract funds.Going forward I see more pressure on this side even though I had lowered the rates for both savings and fixed deposits in the quarter.",2023-07-22,,,,,,,0.4404,0.3626
AU,"African, Caribbean nations join forces to call for reparations for slavery","The meeting in Bridgetown, from Monday to Thursday, included strategy sessions and plenaries and marked the beginning of an ""intercontinental campaign"", the UWI said in a statement, describing it as ""ground-breaking"". Attendees included ambassadors and representatives from AU member states and the Caribbean Community political and economic union (CARICOM).",2023-07-27,735.049988,738.400024,724.400024,729.200012,729.200012,2055123.0,-0.5574,0.0
AU,"Bullhorn and bear ear stocks: Expert advices 3 names to buy, 2 to sell","Nifty down 0.5% in past week, support at 19,500-19,350, resistance at 19,800-19,850. JSW Steel, Indiacem, and Granules show bullish signs. AU Bank and Dixon face bearish signs.",2023-07-29,,,,,,,0.0,0.6597
AU,"Haiti, Mostly Controlled by Underworld Gangs, Welcomes Kenya’s Offer to Lead Multinational Force",At least 80% of Port-au-Prince is controlled by the armed gangs and violent crimes are being committed on a regular basis.,2023-07-31,716.0,732.0,716.0,729.849976,729.849976,1322632.0,0.4019,-0.4215
AU,India’s first bank to provide 24x7 video banking service. Check details,"AU Small Finance Bank launches 24x7 Video Banking, providing customers with real-time video calls for banking services. Security measures include encryption and facial recognition. The service aims to enhance accessibility and convenience for customers, catering to a diverse range of segments",2023-08-08,725.0,729.700012,701.400024,720.799988,720.799988,2866317.0,0.0,0.34
AU,Haiti aid groups halt operations as thousands flee gang warfare,"""In a matter of days, violence escalated dramatically in Port-au-Prince, particularly affecting neighborhoods where the IRC collaborates with local organizations to provide vital services,"" the aid group said on Thursday. The IRC launched its Haiti response plan last December and works with a number of local groups around the capital, where much of the violence has taken place.",2023-08-17,702.0,707.400024,696.599976,698.400024,698.400024,1814426.0,-0.296,-0.7269
