Bank,Title,Description,Published At
HDFC,Fact Check: Ex-HDFC chairman’s praise for BJP manifesto came in run-up to 2014 Lok Sabha polls,"Quote attributed to Deepak Parekh in the screenshot now going viral summarises a piece he wrote for Times of India in 2014, in which he called the manifesto 'extremely detailed document'.",2024-04-26T11:46:56Z
HDFC,"Home Loans: Top 5 banks including HDFC, SBI with lowest rates of interest - check full list",HDFC Bank charges interest rate on its home loan in the range of 9.4 to 9.95 percent per annum. SBI charges a rate that hovers between 9.15 percent and 9.75 percent based on the borrower’s CIBIL score.,2024-04-25T18:30:00Z
HDFC,HDFC Life Insurance stock valuation needs a growth agent,"With flat growth in annual premium equivalent and a dip in the value of new business, HDFC Life's investors may need to rethink expectations as growth slows and valuations remain high",2024-04-25T18:30:00Z
HDFC,"Provident Housing Secures INR 1,150 Crores Investment from HDFC Capital, with a Potential GDV of INR 17,100 Crores","Provident Housing Limited, a wholly owned subsidiary of Puravankara Limited - one of India's most trusted and admired real estate companies, announces a significant deal with HDFC Capital. The INR 1,150 crore investment marks a milestone in the company's journey of growth and expansion.",2024-04-25T11:11:30Z
HDFC,Vodafone Idea FPO: Subscribed 6.36 times amid market volatility,"Domestic investors, including Motilal Oswal Mutual Fund, HDFC Mutual Fund, SBI General Insurance and Quant Mutual Fund, were allocated shares in the anchor round.",2024-04-23T23:30:07Z
HDFC,HDFC Bank: A long haul to put the merger pain behind?,"Despite HDFC Bank's efforts, the loan-to-deposit ratio is still above 100, and any further deterioration could continue to affect the net interest income growth in the coming months",2024-04-23T18:30:00Z
HDFC,"Stocks to Watch: RIL, Paytm, Tata Elxsi, Adani Ent, HDFC Bank, Hero MotoCorp, and Others","Stocks to watch: Shares of firms like RIL, Paytm, Tata Elxsi, Adani Ent, HDFC Bank, Hero MotoCorp, and others will be in focus on Tuesday's trade.",2024-04-23T03:04:54Z
HDFC,"Stocks to Watch: RIL, Adani Group, HDFC Bank, Tata Consumer, Mahindra Logistics","Here are a few stocks likely to be in focus on Tuesday, April 23:",2024-04-22T18:30:00Z
HDFC,Trending: HDFC In Hot Water After Ex-journalist 'Denied' Coverage For Medical Emergency,"The ex-journalist mentioned that the insurance company denied her claim, attributing her condition to a ""tension""-related illness.",2024-04-22T11:36:17Z
HDFC,"HDFC Bank shares decline over 1%, market cap erodes ₹14,434 crore","Shares of HDFC Bank on Monday declined over 1 per cent, reversing early gains, after reporting its March quarter earnings over the weekend. The stock dipped",2024-04-22T11:18:00Z
HDFC,"Stocks to Watch: RIL, Wipro, HDFC Bank, Ultratech, NTPC, Tata Steel, Zomato, and Others","Stocks to watch: Shares of firms like RIL, Wipro, HDFC Bank, Ultratech, NTPC, Tata Steel, Zomato, and others will be in focus on Monday's trade.",2024-04-22T02:38:57Z
HDFC,"HDFC Bank share price: Should you buy, sell or hold post Q4 results? Here's what experts say","HDFC Bank posted a net profit of ₹16,511 crore in the fourth quarter of FY24, registering a growth of 0.84% from ₹16,373 crore in the previous quarter.",2024-04-21T18:30:00Z
HDFC,"Indian stock market: 8 key things that changed for market over weekend - Gift Nifty, China data to HDFC Bank Q4 results","Indian stock market: Gift Nifty was trading around the 22,240 level, a premium of nearly 110 points from the Nifty futures’ previous close, indicating a positive start for the Indian stock market indices.",2024-04-21T18:30:00Z
