Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
HDFC,"IRFC, Bajaj Finance to HDFC Bank - experts recommend these 5 shares to buy after RBI monetary policy meeting","Shares to buy after RBI monetary policy meeting: Experts have recommended five stocks to buy today — SBI, HDFC Bank, IRFC, Poonawalla Fincorp, and Bajaj Finance",2024-04-04,1504.0,1530.0,1504.0,1527.599976,1527.599976,44467533.0,0.5719,0.4588
HDFC,HDFC Bank share price rises for 7th consecutive session; brokerages upbeat on Q4 update,"HDFC Bank share price continued to witness buying interest on Friday, April 5, following the private lender's March quarter business updates. The stock has been gaining in the recent past after a subdued performance.",2024-04-04,1504.0,1530.0,1504.0,1527.599976,1527.599976,44467533.0,0.296,0.7906
HDFC,"Stocks to Watch: HDFC Bank, Dabur, Hero MotoCorp, Prestige Group, RBL Bank","Here are a few stocks likely to be in focus on Friday, April 5:",2024-04-04,1504.0,1530.0,1504.0,1527.599976,1527.599976,44467533.0,0.5574,0.0
HDFC,"Stocks to Watch: HDFC Bank, Bajaj Finance, IndusInd Bank, Nestle, Cipla, Nazara, and Others","Stocks to watch: Shares of firms like HDFC Bank, Bajaj Finance, IndusInd Bank, Nestle, Cipla, Nazara, and others will be in focus on Friday's trade.",2024-04-05,1539.0,1554.5,1530.150024,1549.550049,1549.550049,29527951.0,0.0,0.5719
HDFC,Is it wise to buy HDFC Bank shares before Q4 results 2024?,HDFC Bank shares witnessed a sharp upside move last week after a better-than-expected Q4FY24 business update,2024-04-05,1539.0,1554.5,1530.150024,1549.550049,1549.550049,29527951.0,0.6486,0.296
HDFC,"Market capitalisation of 4 of top 10 valued firms add ₹1.71 lakh crore; HDFC Bank, LIC lead gainers","Six companies within the top 10 experienced a combined decrease of ₹78,127.48 crore, primarily attributed to Reliance Industries, a major contributor to the losses.",2024-04-06,,,,,,,0.5719,-0.2263
HDFC,"Stocks to buy: ICICI Bank, IndusInd Bank and SBI - top stock picks among banks from Motilal Oswal ahead of Q4 results","Stocks to buy: ICICI Bank, Axis Bank and Kotak Mahindra Bank are expected to see a 7-11 bps moderation in NIM, while it expects flat NIMs for HDFC Bank, RBL Bank, SBI, IndusInd Bank and Union Bank of India.",2024-04-07,,,,,,,0.2023,0.0
HDFC,FD interest rates: 5 banks offer more than 7 per cent per annum on their fixed deposits,HDFC Bank offers highest interest rate of 7.25 percent on its deposits with tenure of 18 to 21 months. The bank also offers 7.15 percent on fixed deposits with tenure between 2 years 11 months to 35 months,2024-04-08,1554.949951,1557.25,1541.550049,1546.599976,1546.599976,10241470.0,0.4588,0.4588
HDFC,HDFC Bank Warns Customers Should Stop Doing These Things To Avoid Getting Hacked,Banking apps are used by many people on their smartphones but HDFC Bank has warned that some of your basic mistakes can leave you open to getting hacked. Read more on News18.com,2024-04-10,1549.900024,1549.900024,1532.949951,1536.349976,1536.349976,13903700.0,-0.7579,-0.8674
HDFC,HDFC Bank becomes only private bank to have presence in Lakshadweep,"HDFC Bank’s distribution network includes 8,091 branches and 20,688 ATMs across India's 3,872 cities and towns, as of December 31, 2023.",2024-04-10,1549.900024,1549.900024,1532.949951,1536.349976,1536.349976,13903700.0,0.0,0.0
HDFC,"Veritas Finance picks bankers for ₹2,000-crore IPO","The lender has appointed investment banks Kotak Mahindra Capital Co., Jefferies, HDFC and ICICI Securities to help it with the issue.",2024-04-11,,,,,,,0.0,0.5994
HDFC,"Market valuation of top firms surges ₹59,404 crore during holiday-shortened week; Airtel and ICICI Bank gain big","Reliance Industries kept its position as the most valued company, followed by TCS, HDFC Bank, ICICI Bank, Bharti Airtel, SBI, Infosys, LIC, ITC, and Hindustan Unilever.",2024-04-13,,,,,,,0.6369,0.4927
HDFC,"Q4 Results: From Infosys, Bajaj Auto and Wipro to HDFC Bank - A look at the earnings schedule this week","Q4 results this week: We take a look at the Q4 results expected from April 15-21. So far, FIIs have exercised caution due to subdued expectations for Q4 results and the high valuations of mid-cap and small-cap stocks.",2024-04-13,,,,,,,0.0,0.0
HDFC,"Vodafone Idea FPO: GQG Partners, Fidelity, HDFC MF, Quant MF likely to participate in anchor book, says Report","Vodafone Idea FPO: Investors like GQG Partners, Fidelity, HDFC Mutual Fund, and others show interest in Vodafone Idea's FPO, as per news report. Anchor bidding starts today. The price band for equity shares is set at ₹10 to ₹11, with a minimum bid of 1,298 shares.",2024-04-15,1497.550049,1510.0,1492.050049,1494.699951,1494.699951,11707624.0,0.0,0.836
