Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
PNB,PNB Housing Finance share price falls over 3% post Q2 results but experts remain upbeat; here's what they say,"PNB Housing Finance share price hit its 52-week high of ₹784.40 on October 19 this year and its 52-week low of ₹340.68 on November 21 last year. From its 52-week low level, the stock has surged about 111 per cent, as of the stock's previous session close of ₹718.30.",2023-10-24,,,,,,,0.1531,-0.25
PNB,PNB Housing Finance share price falls over 3% post Q2 results but experts remain upbeat; here's what they say,"PNB Housing Finance share price hit its 52-week high of ₹784.40 on October 19 this year and its 52-week low of ₹340.68 on November 21 last year. From its 52-week low level, the stock has surged about 111 per cent, as of the stock's previous session close of ₹718.30.",2023-10-24,,,,,,,0.1531,-0.25
PNB,"PNB Q2 Results Preview: Net profit likely to jump 280% YoY to ₹1,563 crore; asset quality to improve","Punjab National Bank (PNB) is expected to report a net profit of ₹1,563 crore in the July-September of FY24, registering a growth of 280% from ₹411.3 crore in the corresponding quarter of last fiscal, as per average analysts estimates",2023-10-25,70.0,71.400002,68.550003,69.5,69.5,56157100.0,0.8074,0.6705
PNB,"Q2 Results today: PNB, Asian Paints, ACC, others to announce earnings","Today, Punjab National Bank, Asian Paints, Canara Bank, ACC, Colgate-Palmolive, Aditya Birla Sun Life Amc, and Vodafone Idea to report Q2 results. PNB expected to report strong earnings in Q2 with net profit estimated to jump 280% YoY to ₹1,563 crore.",2023-10-25,70.0,71.400002,68.550003,69.5,69.5,56157100.0,0.0,0.7351
PNB,"Stocks to Watch: Axis Bank, TechM, TCS, IRM Energy, Jubilant Foodworks","Asian Paints, Canara Bank, Colgate Palmolive, Indian Bank, ACC, PNB, Shriram Finance, Railtel Corporation, and Vodafone Idea will be among the stocks to watch on Thursday as they will be declaring their quarterly earnings report",2023-10-25,70.0,71.400002,68.550003,69.5,69.5,56157100.0,0.7269,0.0
PNB,"PNB Q2 Results Preview: Net profit likely to jump 280% YoY to ₹1,563 crore; asset quality to improve","Punjab National Bank (PNB) is expected to report a net profit of ₹1,563 crore in the July-September of FY24, registering a growth of 280% from ₹411.3 crore in the corresponding quarter of last fiscal, as per average analysts estimates",2023-10-25,70.0,71.400002,68.550003,69.5,69.5,56157100.0,0.8074,0.6705
PNB,"PNB Q2 Results: Net profit jumps 327% to ₹1,756 crore; NII rises 20% YoY","PNB’s net interest income (NII) during the July-September 2023 quarter rose 20% to ₹9,923 crore as compared to ₹8,270.7 crore in the year-ago period.",2023-10-25,70.0,71.400002,68.550003,69.5,69.5,56157100.0,0.4404,0.4588
PNB,"Stocks to Watch: Axis Bank, TechM, TCS, IRM Energy, Jubilant Foodworks","Asian Paints, Canara Bank, Colgate Palmolive, Indian Bank, ACC, PNB, Shriram Finance, Railtel Corporation, and Vodafone Idea will be among the stocks to watch on Thursday as they will be declaring their quarterly earnings report",2023-10-25,70.0,71.400002,68.550003,69.5,69.5,56157100.0,0.7269,0.0
PNB,"Q2 Results today: PNB, Asian Paints, ACC, others to announce earnings","Today, Punjab National Bank, Asian Paints, Canara Bank, ACC, Colgate-Palmolive, Aditya Birla Sun Life Amc, and Vodafone Idea to report Q2 results. PNB expected to report strong earnings in Q2 with net profit estimated to jump 280% YoY to ₹1,563 crore.",2023-10-25,70.0,71.400002,68.550003,69.5,69.5,56157100.0,0.0,0.7351
PNB,"PNB Q2 Results: Net profit jumps 327% to ₹1,756 crore; NII rises 20% YoY","PNB’s net interest income (NII) during the July-September 2023 quarter rose 20% to ₹9,923 crore as compared to ₹8,270.7 crore in the year-ago period.",2023-10-25,70.0,71.400002,68.550003,69.5,69.5,56157100.0,0.4404,0.4588
PNB,"PNB Shares Jump 6% As Net Profit Rises 327% In Q2; Should You Buy, Sell Or Hold?",PNB shares moved in an upward trajectory on October 27 morning after the state-owned lender delivered a strong set of numbers,2023-10-27,71.800003,74.150002,70.900002,73.150002,73.150002,97582651.0,0.6249,0.6705
