Bank,Title,Description,Date,Open,High,Low,Close,Adj Close,Volume,Title_Sentiment,Description_Sentiment
SBI,"Buy or sell: Is it wise to accumulate SBI, HDFC Bank shares in FY25? - explained","Buy or sell stocks in FY25: Despite the rally in SBI share price in recent sessions, the PSU stock is available at an attractive PE multiple, say experts",2024-03-28,737.75,759.549988,736.900024,752.349976,752.349976,21705116.0,0.6486,0.6249
SBI,"Centre approved printing of 10,000 electoral bonds, three days before SC order","The Supreme Court struck down the 2018 electoral bond scheme on February 15. In its ruling, SC had asked the SBI to furnish all details related to electoral bonds with the Election Commission of India (ECI) within a stipulated deadline.",2024-03-29,,,,,,,0.4215,0.3818
SBI,"Three days before Supreme Court scrapped scheme, Govt cleared printing of Rs 10,000-cr electoral bonds","13 days after apex court order, SBI was told to ‘immediately put a hold’",2024-03-29,,,,,,,0.6124,0.0
SBI,"Top Events on April 1: Arvind Kejriwal's ED hearing, Jalpaiguri storm, JEE admit card, IPL 2024, and more","Top Events of the Day: Arvind Kejriwal's hearing, US visa fees hike, JEE Main Session 2 admit card, SBI maintenance charges increase on debit cards, and more.",2024-03-31,,,,,,,0.3818,0.4215
SBI,"State Bank of India accountholders alert! SBI net banking, YONO mobile app, UPI services down today. Here is why","SBI announces suspension of Internet Banking, Yono Lite, Yono Business Web & Mobile App, YONO, and UPI services on April 1, 2024, for Annual Closing",2024-03-31,,,,,,,0.3595,0.0
SBI,Multibagger defence stock Apollo Micro Systems hits upper circuit after SBI term loan deal,Multibagger stock: Apollo Micro Systems share price today opened upside and went on to touch an intraday high of ₹100.05 apiece on NSE within a few minutes of the stock market's opening bell,2024-03-31,,,,,,,0.1027,0.296
SBI,PM Modi counters claims of BJP 'setback' due to SBI electoral bond data release: 'There may be imperfections but...',Prime Minister Narendra Modi reacted to the electoral bonds case on Sunday. He questioned if any agency could share details of expenditures made during the election before 2014.,2024-03-31,,,,,,,0.0,0.2023
SBI,"Stocks to buy in April: Coal India, ICICI Bank, SBI , Bharti Airtel are among top 15 picks by Axis Securities","Stocks to Buy in April: ICICI Bank, Coal India, Nestle India, SBI , Lupin , Federal Bank, Varun Beverages, TVS Motor Company, Bharti Airtel, PNC infra, CIE Automotive India, Bank of Baroda, Westlife Foodworld, CreditAccess Grameen, JTL Industries are among the top 15 stock picks by Axis Securities",2024-04-01,759.049988,761.5,752.099976,758.299988,758.299988,9949971.0,0.4588,0.4588
SBI,RBI policy meet starts tomorrow: SBI says there could be no rate cut before Q3FY25; here's why,"RBI policy meet starts tomorrow: The Reserve Bank of India (RBI) might only consider cutting rates in the third quarter of the fiscal year 2025 (Q3FY25), as per a report from SBI Research.",2024-04-01,759.049988,761.5,752.099976,758.299988,758.299988,9949971.0,-0.5106,-0.128
SBI,Day trading stocks for today: SBI to Apollo Tyres - Anand Rathi expert recommends three shares to buy today - April 3,"Day trading stocks: Ganesh Dongre of Anand Rathi has recommended three shares to buy today — SBI, Bata India, and Apollo Tyres",2024-04-02,758.200012,768.75,753.349976,766.400024,766.400024,15713063.0,0.4767,0.4588
SBI,"Man Discovers Grandfather's SBI Shares Worth Rs 500 Bought in 1994, Here's the Current Value",Viral Post: Chandigarh pediatrician realises his grandfather brought SBI shares worth Rs 500 in 1994. Here's their present worth.,2024-04-02,758.200012,768.75,753.349976,766.400024,766.400024,15713063.0,0.6705,0.6124
SBI,SBI forecasts 15 percent growth in deposits for FY25; expects RBI rate cut only in Q3FY25,"This outlook comes amidst a backdrop of sustained momentum in credit growth, particularly across agriculture, MSME, and services sectors, as revealed by the latest credit growth numbers.",2024-04-02,758.200012,768.75,753.349976,766.400024,766.400024,15713063.0,0.128,0.8555
SBI,"SBI refuses to disclose SOP for sale, redemption of electoral bonds in RTI reply",She said the SOPs would reveal the official instructions governing the particulars of information that were to be stored as well as the form and manner in which information was to be maintained by the bank on the sale and redemption of the electoral bonds.,2024-04-02,758.200012,768.75,753.349976,766.400024,766.400024,15713063.0,0.0,0.2732
